Date : 2021-08-18 18:05:51
Directory : c:\laragon\www\rhtabiat
Total : 321 files,  27435 codes, 15084 comments, 2449 blanks, all 44968 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\laragon\www\rhtabiat\app\Providers\AppServiceProvider.php                                                      | PHP        |         12 |         12 |          5 |         29 |
| c:\laragon\www\rhtabiat\app\Providers\AuthServiceProvider.php                                                     | PHP        |         20 |         11 |          6 |         37 |
| c:\laragon\www\rhtabiat\app\Providers\BroadcastServiceProvider.php                                                | PHP        |         12 |          5 |          5 |         22 |
| c:\laragon\www\rhtabiat\app\Providers\EventServiceProvider.php                                                    | PHP        |         19 |         16 |          6 |         41 |
| c:\laragon\www\rhtabiat\app\Providers\OrderServiceProvider.php                                                    | PHP        |         16 |          1 |          5 |         22 |
| c:\laragon\www\rhtabiat\app\Providers\RouteServiceProvider.php                                                    | PHP        |         42 |         30 |         11 |         83 |
| c:\laragon\www\rhtabiat\app\Scopes\LatestScope.php                                                                | PHP        |         12 |          0 |          4 |         16 |
| c:\laragon\www\rhtabiat\app\Services\AuthService.php                                                              | PHP        |         17 |          7 |          4 |         28 |
| c:\laragon\www\rhtabiat\app\Services\CalcOrderDeliveryCostService.php                                             | PHP        |         16 |          0 |          6 |         22 |
| c:\laragon\www\rhtabiat\app\Services\DiscountCodeService.php                                                      | PHP        |         23 |          0 |          8 |         31 |
| c:\laragon\www\rhtabiat\app\Services\InitiateWithZarinpalService.php                                              | PHP        |         30 |          0 |          5 |         35 |
| c:\laragon\www\rhtabiat\app\Services\OrderService.php                                                             | PHP        |         83 |          3 |         10 |         96 |
| c:\laragon\www\rhtabiat\app\Services\ProductService.php                                                           | PHP        |        135 |         13 |         16 |        164 |
| c:\laragon\www\rhtabiat\app\Services\TransactionService.php                                                       | PHP        |         49 |          0 |          8 |         57 |
| c:\laragon\www\rhtabiat\app\Services\UserService.php                                                              | PHP        |         28 |          0 |          6 |         34 |
| c:\laragon\www\rhtabiat\app\Services\ValidateGuestOrderService.php                                                | PHP        |         30 |          0 |          9 |         39 |
| c:\laragon\www\rhtabiat\app\Services\ValidateOrderItemQuantityService.php                                         | PHP        |         14 |          0 |          7 |         21 |
| c:\laragon\www\rhtabiat\app\Services\VerifyZarinpalService.php                                                    | PHP        |         25 |          0 |          5 |         30 |
| c:\laragon\www\rhtabiat\app\Traits\HasImage.php                                                                   | PHP        |         22 |          0 |          5 |         27 |
| c:\laragon\www\rhtabiat\app\Traits\HasPersianDate.php                                                             | PHP        |         86 |          0 |          8 |         94 |
| c:\laragon\www\rhtabiat\app\Traits\Sluggable.php                                                                  | PHP        |         10 |          0 |          4 |         14 |
| c:\laragon\www\rhtabiat\app\helpers.php                                                                           | PHP        |         37 |          0 |         11 |         48 |
| c:\laragon\www\rhtabiat\bootstrap\app.php                                                                         | PHP        |         17 |         30 |          9 |         56 |
| c:\laragon\www\rhtabiat\composer.json                                                                             | JSON       |         75 |          0 |          0 |         75 |
| c:\laragon\www\rhtabiat\composer.lock                                                                             | JSON       |     10,392 |          0 |          1 |     10,393 |
| c:\laragon\www\rhtabiat\config\app.php                                                                            | PHP        |        100 |        135 |         56 |        291 |
| c:\laragon\www\rhtabiat\config\auth.php                                                                           | PHP        |         42 |         70 |         16 |        128 |
| c:\laragon\www\rhtabiat\config\broadcasting.php                                                                   | PHP        |         30 |         22 |         13 |         65 |
| c:\laragon\www\rhtabiat\config\cache.php                                                                          | PHP        |         55 |         34 |         18 |        107 |
| c:\laragon\www\rhtabiat\config\cors.php                                                                           | PHP        |          3 |         29 |          3 |         35 |
| c:\laragon\www\rhtabiat\config\database.php                                                                       | PHP        |         82 |         45 |         22 |        149 |
| c:\laragon\www\rhtabiat\config\filesystems.php                                                                    | PHP        |         28 |         32 |         13 |         73 |
| c:\laragon\www\rhtabiat\config\hashing.php                                                                        | PHP        |         12 |         32 |          9 |         53 |
| c:\laragon\www\rhtabiat\config\jwt.php                                                                            | PHP        |         32 |        229 |         44 |        305 |
| c:\laragon\www\rhtabiat\config\laravel-fulltext.php                                                               | PHP        |         12 |         10 |          6 |         28 |
| c:\laragon\www\rhtabiat\config\logging.php                                                                        | PHP        |         65 |         24 |         17 |        106 |
| c:\laragon\www\rhtabiat\config\mail.php                                                                           | PHP        |         46 |         47 |         18 |        111 |
| c:\laragon\www\rhtabiat\config\meilisearch.php                                                                    | PHP        |          5 |         27 |          7 |         39 |
| c:\laragon\www\rhtabiat\config\queue.php                                                                          | PHP        |         47 |         32 |         15 |         94 |
| c:\laragon\www\rhtabiat\config\scout.php                                                                          | PHP        |         17 |         84 |         19 |        120 |
| c:\laragon\www\rhtabiat\config\services.php                                                                       | PHP        |         16 |         11 |          7 |         34 |
| c:\laragon\www\rhtabiat\config\session.php                                                                        | PHP        |         22 |        147 |         33 |        202 |
| c:\laragon\www\rhtabiat\config\view.php                                                                           | PHP        |         10 |         20 |          7 |         37 |
| c:\laragon\www\rhtabiat\database\factories\AddressFactory.php                                                     | PHP        |         23 |          0 |          5 |         28 |
| c:\laragon\www\rhtabiat\database\factories\AdminFactory.php                                                       | PHP        |         15 |         10 |          5 |         30 |
| c:\laragon\www\rhtabiat\database\factories\ArticleCategoryFactory.php                                             | PHP        |         14 |          0 |          5 |         19 |
| c:\laragon\www\rhtabiat\database\factories\ArticleFactory.php                                                     | PHP        |         22 |          0 |          5 |         27 |
| c:\laragon\www\rhtabiat\database\factories\CommentFactory.php                                                     | PHP        |         25 |         10 |         10 |         45 |
| c:\laragon\www\rhtabiat\database\factories\MessageFactory.php                                                     | PHP        |         17 |          0 |          5 |         22 |
| c:\laragon\www\rhtabiat\database\factories\OrderFactory.php                                                       | PHP        |         16 |          0 |          5 |         21 |
| c:\laragon\www\rhtabiat\database\factories\PosterFactory.php                                                      | PHP        |         14 |          0 |          5 |         19 |
| c:\laragon\www\rhtabiat\database\factories\ProductCategoryFactory.php                                             | PHP        |         16 |          0 |          5 |         21 |
| c:\laragon\www\rhtabiat\database\factories\ProductFactory.php                                                     | PHP        |         21 |          0 |          9 |         30 |
| c:\laragon\www\rhtabiat\database\factories\ProductItemFactory.php                                                 | PHP        |         17 |         10 |          5 |         32 |
| c:\laragon\www\rhtabiat\database\factories\UserDetailFactory.php                                                  | PHP        |         17 |          0 |          5 |         22 |
| c:\laragon\www\rhtabiat\database\factories\UserFactory.php                                                        | PHP        |         14 |          0 |          5 |         19 |
| c:\laragon\www\rhtabiat\database\migrations\2014_10_12_000000_create_users_table.php                              | PHP        |         19 |          0 |          4 |         23 |
| c:\laragon\www\rhtabiat\database\migrations\2014_10_12_100000_create_password_resets_table.php                    | PHP        |         21 |          0 |          4 |         25 |
| c:\laragon\www\rhtabiat\database\migrations\2019_08_19_000000_create_failed_jobs_table.php                        | PHP        |         23 |         10 |          4 |         37 |
| c:\laragon\www\rhtabiat\database\migrations\2021_02_27_170219_create_images_table.php                             | PHP        |         23 |          0 |          4 |         27 |
| c:\laragon\www\rhtabiat\database\migrations\2021_03_20_104908_create_banners_table.php                            | PHP        |         19 |          0 |          4 |         23 |
| c:\laragon\www\rhtabiat\database\migrations\2021_03_20_141100_create_admins_table.php                             | PHP        |         20 |         10 |          4 |         34 |
| c:\laragon\www\rhtabiat\database\migrations\2021_03_21_092651_create_article_categories_table.php                 | PHP        |         19 |          0 |          4 |         23 |
| c:\laragon\www\rhtabiat\database\migrations\2021_03_21_115431_create_phones_table.php                             | PHP        |         20 |         10 |          4 |         34 |
| c:\laragon\www\rhtabiat\database\migrations\2021_03_21_164651_create_articles_table.php                           | PHP        |         27 |          0 |          4 |         31 |
| c:\laragon\www\rhtabiat\database\migrations\2021_03_21_170959_create_addresses_table.php                          | PHP        |         27 |          0 |          4 |         31 |
| c:\laragon\www\rhtabiat\database\migrations\2021_03_21_222317_create_login_codes_table.php                        | PHP        |         20 |         10 |          4 |         34 |
| c:\laragon\www\rhtabiat\database\migrations\2021_03_22_131445_create_comments_table.php                           | PHP        |         25 |         10 |          4 |         39 |
| c:\laragon\www\rhtabiat\database\migrations\2021_03_25_130529_create_user_details_table.php                       | PHP        |         22 |          0 |          4 |         26 |
| c:\laragon\www\rhtabiat\database\migrations\2021_03_25_131046_create_verification_codes_table.php                 | PHP        |         21 |          0 |          4 |         25 |
| c:\laragon\www\rhtabiat\database\migrations\2021_03_29_123454_create_discount_code_groups_table.php               | PHP        |         23 |          0 |          5 |         28 |
| c:\laragon\www\rhtabiat\database\migrations\2021_03_29_181625_create_messages_table.php                           | PHP        |         22 |          0 |          4 |         26 |
| c:\laragon\www\rhtabiat\database\migrations\2021_03_30_030211_create_discount_codes_table.php                     | PHP        |         21 |          0 |          4 |         25 |
| c:\laragon\www\rhtabiat\database\migrations\2021_03_30_085528_create_orders_table.php                             | PHP        |         24 |          0 |          4 |         28 |
| c:\laragon\www\rhtabiat\database\migrations\2021_03_31_094036_create_carts_table.php                              | PHP        |         19 |          0 |          4 |         23 |
| c:\laragon\www\rhtabiat\database\migrations\2021_03_31_094232_create_cart_product_table.php                       | PHP        |         18 |          2 |          4 |         24 |
| c:\laragon\www\rhtabiat\database\migrations\2021_04_01_105346_create_product_categories_table.php                 | PHP        |         23 |          0 |          4 |         27 |
| c:\laragon\www\rhtabiat\database\migrations\2021_04_01_135158_create_products_table.php                           | PHP        |         28 |          5 |          4 |         37 |
| c:\laragon\www\rhtabiat\database\migrations\2021_04_01_142830_create_product_items_table.php                      | PHP        |         22 |         10 |          4 |         36 |
| c:\laragon\www\rhtabiat\database\migrations\2021_04_03_081728_create_order_product_item_table.php                 | PHP        |         24 |         10 |          4 |         38 |
| c:\laragon\www\rhtabiat\database\migrations\2021_04_06_160313_create_cart_product_item_table.php                  | PHP        |         20 |         10 |          4 |         34 |
| c:\laragon\www\rhtabiat\database\migrations\2021_04_09_214427_create_provinces_table.php                          | PHP        |         18 |         10 |          4 |         32 |
| c:\laragon\www\rhtabiat\database\migrations\2021_04_09_220506_create_cities_table.php                             | PHP        |         19 |         10 |          4 |         33 |
| c:\laragon\www\rhtabiat\database\migrations\2021_04_11_205323_create_transactions_table.php                       | PHP        |         23 |          0 |          4 |         27 |
| c:\laragon\www\rhtabiat\database\migrations\2021_04_23_213720_create_logs_table.php                               | PHP        |         20 |          0 |          4 |         24 |
| c:\laragon\www\rhtabiat\database\migrations\2021_04_28_175039_create_guest_orders_table.php                       | PHP        |         26 |          0 |          4 |         30 |
| c:\laragon\www\rhtabiat\database\migrations\2021_05_19_010514_create_return_requests_table.php                    | PHP        |         23 |          0 |          4 |         27 |
| c:\laragon\www\rhtabiat\database\migrations\2021_06_15_104929_add_is_best_selling_to_products_table.php           | PHP        |         19 |          0 |          4 |         23 |
| c:\laragon\www\rhtabiat\database\migrations\2021_06_15_111244_add_price_to_products.php                           | PHP        |         19 |          0 |          4 |         23 |
| c:\laragon\www\rhtabiat\database\migrations\2021_07_07_213541_add_group_to_images_table.php                       | PHP        |         19 |         10 |          4 |         33 |
| c:\laragon\www\rhtabiat\database\migrations\2021_07_10_171105_add_is_server_serve_to_images.php                   | PHP        |         19 |         10 |          4 |         33 |
| c:\laragon\www\rhtabiat\database\migrations\2021_07_12_101730_add_package_price_to_products_table.php             | PHP        |         19 |         10 |          4 |         33 |
| c:\laragon\www\rhtabiat\database\migrations\2021_07_12_105401_add_package_price_to_orders_table.php               | PHP        |         19 |         10 |          4 |         33 |
| c:\laragon\www\rhtabiat\database\migrations\2021_08_05_161028_add_link_field_to_banners_table.php                 | PHP        |         19 |         10 |          4 |         33 |
| c:\laragon\www\rhtabiat\database\migrations\2021_08_05_181006_create_promo_codes_table.php                        | PHP        |         29 |         10 |          4 |         43 |
| c:\laragon\www\rhtabiat\database\migrations\2021_08_11_175911_add_promo_code_id_field_to_orders_table.php         | PHP        |         21 |         10 |          4 |         35 |
| c:\laragon\www\rhtabiat\database\migrations\2021_08_17_183734_add_unit_to_products_table.php                      | PHP        |         19 |         10 |          4 |         33 |
| c:\laragon\www\rhtabiat\database\migrations\2021_08_17_184529_remove_unique_index_from_name_in_products_table.php | PHP        |         19 |         10 |          4 |         33 |
| c:\laragon\www\rhtabiat\database\seeders\AdminSeeder.php                                                          | PHP        |         32 |          5 |          5 |         42 |
| c:\laragon\www\rhtabiat\database\seeders\ArticleCategorySeeder.php                                                | PHP        |         15 |          0 |          4 |         19 |
| c:\laragon\www\rhtabiat\database\seeders\BannerSeeder.php                                                         | PHP        |         61 |          5 |          4 |         70 |
| c:\laragon\www\rhtabiat\database\seeders\CitySeeder.php                                                           | PHP        |         22 |          5 |          6 |         33 |
| c:\laragon\www\rhtabiat\database\seeders\CommentSeeder.php                                                        | PHP        |         26 |          0 |          5 |         31 |
| c:\laragon\www\rhtabiat\database\seeders\DatabaseSeeder.php                                                       | PHP        |         13 |         11 |          4 |         28 |
| c:\laragon\www\rhtabiat\database\seeders\OrderSeeder.php                                                          | PHP        |          9 |          6 |          4 |         19 |
| c:\laragon\www\rhtabiat\database\seeders\ProductCategorySeeder.php                                                | PHP        |         17 |          0 |          5 |         22 |
| c:\laragon\www\rhtabiat\database\seeders\ProductItemSeeder.php                                                    | PHP        |         24 |          0 |          8 |         32 |
| c:\laragon\www\rhtabiat\database\seeders\ProductSeeder.php                                                        | PHP        |         17 |          0 |          4 |         21 |
| c:\laragon\www\rhtabiat\database\seeders\ProvinceSeeder.php                                                       | PHP        |         18 |          5 |          5 |         28 |
| c:\laragon\www\rhtabiat\docker-compose.yml                                                                        | YAML       |         59 |          1 |          1 |         61 |
| c:\laragon\www\rhtabiat\package.json                                                                              | JSON       |         18 |          0 |          1 |         19 |
| c:\laragon\www\rhtabiat\phpunit.xml                                                                               | XML        |         29 |          2 |          1 |         32 |
| c:\laragon\www\rhtabiat\public\index.php                                                                          | PHP        |         14 |         30 |         12 |         56 |
| c:\laragon\www\rhtabiat\resources\css\app.css                                                                     | CSS        |          0 |          0 |          1 |          1 |
| c:\laragon\www\rhtabiat\resources\js\app.js                                                                       | JavaScript |          1 |          0 |          1 |          2 |
| c:\laragon\www\rhtabiat\resources\js\bootstrap.js                                                                 | JavaScript |          3 |         18 |          8 |         29 |
| c:\laragon\www\rhtabiat\resources\lang\en\auth.php                                                                | PHP        |          6 |         10 |          5 |         21 |
| c:\laragon\www\rhtabiat\resources\lang\en\pagination.php                                                          | PHP        |          5 |         10 |          5 |         20 |
| c:\laragon\www\rhtabiat\resources\lang\en\passwords.php                                                           | PHP        |          8 |         10 |          5 |         23 |
| c:\laragon\www\rhtabiat\resources\lang\en\validation.php                                                          | PHP        |        116 |         30 |          9 |        155 |
| c:\laragon\www\rhtabiat\resources\lang\fa\messages.php                                                            | PHP        |         37 |          0 |         14 |         51 |
| c:\laragon\www\rhtabiat\resources\lang\fa\validation.php                                                          | PHP        |        127 |         20 |          8 |        155 |
| c:\laragon\www\rhtabiat\resources\views\welcome.blade.php                                                         | PHP        |        113 |          0 |         20 |        133 |
| c:\laragon\www\rhtabiat\routes\api.php                                                                            | PHP        |        156 |          2 |         29 |        187 |
| c:\laragon\www\rhtabiat\routes\channels.php                                                                       | PHP        |          5 |         10 |          4 |         19 |
| c:\laragon\www\rhtabiat\routes\console.php                                                                        | PHP        |          6 |         10 |          4 |         20 |
| c:\laragon\www\rhtabiat\routes\web.php                                                                            | PHP        |          2 |         10 |          4 |         16 |
| c:\laragon\www\rhtabiat\server.php                                                                                | PHP        |          8 |          9 |          5 |         22 |
| c:\laragon\www\rhtabiat\tests\CreatesApplication.php                                                              | PHP        |         12 |          5 |          6 |         23 |
| c:\laragon\www\rhtabiat\tests\Feature\ExampleTest.php                                                             | PHP        |         12 |          5 |          5 |         22 |
| c:\laragon\www\rhtabiat\tests\TestCase.php                                                                        | PHP        |          7 |          0 |          4 |         11 |
| c:\laragon\www\rhtabiat\tests\Unit\ExampleTest.php                                                                | PHP        |          6 |          0 |          5 |         11 |
| c:\laragon\www\rhtabiat\tests\Unit\ImageTest.php                                                                  | PHP        |         28 |          5 |         10 |         43 |
| c:\laragon\www\rhtabiat\vendor\facade\ignition\resources\compiled\ignition.js                                     | JavaScript |          5 |         27 |          0 |         32 |
| c:\laragon\www\rhtabiat\vendor\facade\ignition\resources\compiled\index.html                                      | HTML       |         12 |          0 |          1 |         13 |
| c:\laragon\www\rhtabiat\webpack.mix.js                                                                            | JavaScript |          4 |         11 |          3 |         18 |
| Total                                                                                                             |            |     27,435 |     15,084 |      2,449 |     44,968 |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
